"","n","Scenario","tau","QATF2","QATF3","ATF2","ATF3"
"1",500,1,0.5,2.43241845604639,2.01763718212521,1.54819866904302,1.62540994459392
"2",1000,1,0.5,1.1503416922349,1.15245558683095,0.825344441385592,0.892906740984316
"3",2500,1,0.5,0.672446508489255,0.58893101617119,0.445819615266935,0.488926370551296
"4",500,2,0.5,3.71871979381213,4.0392569133256,28.9285491072055,36.8255824543477
"5",1000,2,0.5,1.56753228053883,1.69724549635145,95.2277096519873,107.88541478953
"6",2500,2,0.5,1.00857155718869,1.04632283601303,68.3753817810029,82.4234040028795
"7",500,3,0.5,1.54372116276785,1.70147648026368,5.83075566352277,5.86954920357901
"8",1000,3,0.5,0.70716586113997,0.823214922088415,1.99348594854981,2.05070810050766
"9",2500,3,0.5,0.256378503537586,0.244654830414664,1.10144671625537,1.30356763337333
"10",500,4,0.5,2.83595962232419,3.1657610826276,3.24624142983996,3.53855768552066
"11",1000,4,0.5,2.10214282257746,2.23435066403098,2.62192842978361,2.9382748041226
"12",2500,4,0.5,0.955162327737629,1.20295569506863,1.68156813198744,2.09605149228054
"13",500,5,0.5,0.178623855920226,0.191348868546392,733.313828736719,997.372050092454
"14",1000,5,0.5,0.0741805552243013,0.121316881085125,47.4144190556897,12.8390511688551
"15",2500,5,0.5,0.0249420422167728,0.082050297732935,2.90569598869005,0.648902008074114
"16",500,6,0.9,0.387100331992798,0.475257009676293,NA,NA
"17",1000,6,0.9,0.138559434556221,0.137537251430518,NA,NA
"18",2500,6,0.9,0.182496314535598,0.162818241091704,NA,NA
"19",500,6,0.1,0.228557822853583,0.396404642498541,NA,NA
"20",1000,6,0.1,0.12930569881573,0.0772872243660923,NA,NA
"21",2500,6,0.1,0.298780043079465,0.259725622963182,NA,NA
