"","n","Scenario","tau","QATF2","QATF3","ATF2","ATF3"
"1",500,1,0.5,0.243241845604639,0.201763718212521,0.154819866904302,0.162540994459392
"2",1000,1,0.5,0.11503416922349,0.115245558683095,0.0825344441385592,0.0892906740984316
"3",2500,1,0.5,0.0672446508489255,0.058893101617119,0.0445819615266935,0.0488926370551296
"4",500,2,0.5,0.371871979381213,0.40392569133256,2.89285491072055,3.68255824543477
"5",1000,2,0.5,0.156753228053883,0.169724549635145,9.52277096519873,10.788541478953
"6",2500,2,0.5,0.100857155718869,0.104632283601303,6.83753817810029,8.24234040028795
"7",500,3,0.5,0.154372116276785,0.170147648026368,0.583075566352277,0.586954920357901
"8",1000,3,0.5,0.070716586113997,0.0823214922088415,0.199348594854981,0.205070810050766
"9",2500,3,0.5,0.0256378503537586,0.0244654830414664,0.110144671625537,0.130356763337333
"10",500,4,0.5,0.283595962232419,0.31657610826276,0.324624142983996,0.353855768552066
"11",1000,4,0.5,0.210214282257746,0.223435066403098,0.262192842978361,0.29382748041226
"12",2500,4,0.5,0.0955162327737629,0.120295569506863,0.168156813198744,0.209605149228054
"13",500,5,0.5,0.0178623855920226,0.0191348868546392,73.3313828736719,99.7372050092454
"14",1000,5,0.5,0.00741805552243013,0.0121316881085125,4.74144190556897,1.28390511688551
"15",2500,5,0.5,0.00249420422167728,0.0082050297732935,0.290569598869005,0.0648902008074114
"16",500,6,0.9,0.0387100331992798,0.0475257009676293,NA,NA
"17",1000,6,0.9,0.0138559434556221,0.0137537251430518,NA,NA
"18",2500,6,0.9,0.0182496314535598,0.0162818241091704,NA,NA
"19",500,6,0.1,0.0228557822853583,0.0396404642498541,NA,NA
"20",1000,6,0.1,0.012930569881573,0.00772872243660923,NA,NA
"21",2500,6,0.1,0.0298780043079465,0.0259725622963182,NA,NA
