"","n","Scenario","tau","Simulations","QATF1","QATF2","QS","ATF1","ATF2"
"1",500,1,0.5,1,"0.243308","0.167232","0.279812","0.128617","0.123325"
"2",1000,1,0.5,1,"0.12898","0.10877","0.156034","0.0648444","0.063762"
"3",2500,1,0.5,1,"0.109485","0.0668918","0.0936834","0.0475508","0.0501741"
"4",500,2,0.5,1,"0.593997","0.536295","0.65278","2.44225","2.46191"
"5",1000,2,0.5,1,"0.254794","0.177726","0.20998","8.32997","12.9345"
"6",2500,2,0.5,1,"0.105657","0.0703618","0.110735","2.28879","2.27435"
"7",500,3,0.5,1,"0.180452","0.156454","0.210684","1.26033","1.16416"
"8",1000,3,0.5,1,"0.123248","0.114316","0.170578","0.352696","0.357656"
"9",2500,3,0.5,1,"0.0626762","0.0468647","0.0726329","0.170711","0.166938"
"10",500,4,0.5,1,"0.309214","0.038783","0.0964544","0.0511304","0.161942"
"11",1000,4,0.5,1,"0.158285","0.0188298","0.0450719","0.0268252","0.067139"
"12",2500,4,0.5,1,"0.0783267","0.00140777","0.0156036","0.00747391","0.0181954"
"13",500,5,0.5,1,"0.673155","0.139663","0.0631131","8.59858","8.38968"
"14",1000,5,0.5,1,"0.441086","0.109137","0.0653904","5.66554","3.7664"
"15",2500,5,0.5,1,"0.207062","0.0451404","0.0227598","10.411","7.0365"
"16",500,6,0.9,1,"0.19019","0.0178068","0.0170401","NA","NA"
"17",1000,6,0.9,1,"0.0876956","0.0149855","0.0103044","NA","NA"
"18",2500,6,0.9,1,"0.0551667","0.0262066","0.0290351","NA","NA"
"19",500,6,0.1,1,"0.0631784","0.0182364","0.0185138","NA","NA"
"20",1000,6,0.1,1,"0.15022","0.0914164","0.0921017","NA","NA"
"21",2500,6,0.1,1,"0.0481753","0.0154737","0.0193391","NA","NA"
