Country.Name,Log.GDP.per.capita,Social.support,Healthy.life.expectancy.at.birth,Freedom.to.make.life.choices,Perceptions.of.corruption,Compulsory.education..duration..years.,Individuals.using.the.Internet....of.population.,Rural.population....of.total.population.,Log.Scientific.and.technical.journal.articles,Ladder.score
Afghanistan,7.4825,0.3675,54.63125,0.34600000000000003,0.83525,9,18,73.6714,4.8482340047374315,1.721
Albania,9.5884,0.7026,69.15,0.8064,0.8804,9,75.681367895,37.0576,5.193484489442281,5.304
Algeria,9.32075,0.82375,66.55,0.48925,0.697,10,64.56585688666667,25.7554,8.678452828337846,5.364
Argentina,9.976,0.892,67.2,0.8231999999999999,0.8236,14,85.2468505575,7.771800000000004,9.14401412046717,6.188
Armenia,9.63575,0.7935,67.71875,0.812,0.6685,12,73.88796927333334,36.545,6.4033589429810505,5.455
Australia,10.8204,0.9276,71.05,0.893,0.4804,11,95.41479535,13.6336,10.986571819748807,7.057
Austria,10.9112,0.9004,71.15,0.868,0.495,13,90.3562188375,40.9912,9.505417905468011,6.905
Azerbaijan,9.611333333333333,0.755,63.891666666666666,0.8276666666666667,0.5933333333333333,10,83.89999826666667,43.2098,6.832994016557711,4.893
Bangladesh,8.6892,0.5502,64.55,0.8712,0.7034,5,33.18248155333333,61.0576,8.511311930657099,3.886
Belgium,10.855599999999999,0.9044,70.9,0.8252,0.5668,12,92.1495877975,1.884200000000002,9.718237812795927,6.894
Benin,8.1096,0.4298,56.1,0.7554,0.5996,6,28.20347449333333,51.0236,5.629471917881037,4.377
Bolivia,9.0056,0.7994,63.6,0.8634,0.8508,14,57.797433053333336,29.5226,4.883407799611873,5.784
Bosnia and Herzegovina,9.67,0.8734,67.3,0.7622,0.9362,9,74.4199597625,50.5638,6.746418003996772,5.877
Brazil,9.601,0.8532,65.75,0.8216,0.741,14,79.11819438,12.6886,11.117438038826336,6.272
Bulgaria,10.1294,0.9272,66.5,0.7952,0.9249999999999999,11,73.12694340499999,23.9756,8.315233665769158,5.463
Burkina Faso,7.67025,0.64725,55.55625,0.69675,0.731,10,14.929868370000001,68.7552,5.518496528398231,4.548
Cameroon,8.2234,0.6941999999999999,55.85,0.7032,0.8413999999999999,6,42.556859673333335,41.855199999999996,6.9351077656032345,4.874
Canada,10.7838,0.9226000000000001,71.4,0.8764,0.4328,10,92.34897111,18.3378,11.071052667444945,6.9
