HDI rank,Country,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank,,,,,,,,,
1,Switzerland,0.967,84.3,16.6,13.9,"69,433",6,1,,,,,,,,,
2,Norway,0.966,83.4,18.6,13.1,"69,190",6,2,,,,,,,,,
3,Iceland,0.959,82.8,19.1,13.8,"54,688",16,4,,,,,,,,,
4,"Hong Kong, China (SAR)",0.956,84.3,17.8,12.3,"62,486",6,3,,,,,,,,,
5,Denmark,0.952,81.9,18.8,13.0,"62,019",6,8,,,,,,,,,
5,Sweden,0.952,83.5,19.0,12.7,"56,996",10,5,,,,,,,,,
7,Germany,0.950,81.0,17.3,14.3,"55,340",11,7,,,,,,,,,
7,Ireland,0.950,82.7,19.1,11.7,"87,468",-3,9,,,,,,,,,
9,Singapore,0.949,84.1,16.9,11.9,"88,761",-6,10,,,,,,,,,
10,Australia,0.946,83.6,21.1,12.7,"49,257",14,5,,,,,,,,,
10,Netherlands,0.946,82.5,18.6,12.6,"57,278",4,11,,,,,,,,,
12,Belgium,0.942,82.3,18.9,12.5,"53,644",9,13,,,,,,,,,
12,Finland,0.942,82.4,19.2,12.9,"49,522",11,11,,,,,,,,,
12,Liechtenstein,0.942,84.7,15.5,12.4,"146,673",-11,14,,,,,,,,,
15,United Kingdom,0.940,82.2,17.6,13.4,"46,624",13,17,,,,,,,,,
16,New Zealand,0.939,83.0,19.7,12.9,"43,665",16,14,,,,,,,,,
17,United Arab Emirates,0.937,79.2,17.2,12.8,"74,104",-11,17,,,,,,,,,
18,Canada,0.935,82.8,16.0,13.9,"48,444",8,16,,,,,,,,,
19,Korea (Republic of),0.929,84.0,16.5,12.6,"46,026",10,20,,,,,,,,,
20,Luxembourg,0.927,82.6,14.2,13.0,"78,554",-15,19,,,,,,,,,
20,United States,0.927,78.2,16.4,13.6,"65,565",-11,21,,,,,,,,,
22,Austria,0.926,82.4,16.4,12.3,"56,530",-5,22,,,,,,,,,
22,Slovenia,0.926,82.1,17.4,12.9,"41,587",13,24,,,,,,,,,
24,Japan,0.920,84.8,15.5,12.7,"43,644",9,22,,,,,,,,,
25,Israel,0.915,82.6,15.0,13.4,"43,588",9,26,,,,,,,,,
25,Malta,0.915,83.7,15.9,12.2,"44,464",5,25,,,,,,,,,
27,Spain,0.911,83.9,17.8,10.6,"40,043",10,28,,,,,,,,,
28,France,0.910,83.2,16.0,11.7,"47,379",-1,27,,,,,,,,,
29,Cyprus,0.907,81.9,16.2,12.4,"40,137",7,29,,,,,,,,,
30,Italy,0.906,84.1,16.7,10.7,"44,284",1,30,,,,,,,,,
31,Estonia,0.899,79.2,15.9,13.5,"37,152",9,32,,,,,,,,,
32,Czechia,0.895,78.1,16.3,12.9,"39,945",6,31,,,,,,,,,
33,Greece,0.893,80.6,20.0,11.4,"31,382",20,33,,,,,,,,,
34,Bahrain,0.888,79.2,16.3,11.0,"48,731",-9,34,,,,,,,,,
35,Andorra,0.884,83.6,12.8,11.6,"54,233",-15,43,,,,,,,,,
36,Poland,0.881,77.0,15.9,13.2,"35,151",7,35,,,,,,,,,
37,Latvia,0.879,75.9,16.6,13.3,"32,083",13,39,,,,,,,,,
37,Lithuania,0.879,74.3,16.4,13.5,"38,131",2,36,,,,,,,,,
39,Croatia,0.878,79.2,15.6,12.3,"34,324",5,37,,,,,,,,,
40,Qatar,0.875,81.6,13.3,10.1,"95,944",-38,41,,,,,,,,,
40,Saudi Arabia,0.875,77.9,15.2,11.3,"50,620",-18,37,,,,,,,,,
42,Portugal,0.874,82.2,16.8,9.6,"35,315",0,39,,,,,,,,,
43,San Marino,0.867,83.4,12.4,10.5,"57,687",-30,44,,,,,,,,,
44,Chile,0.860,79.5,16.8,11.1,"24,431",15,42,,,,,,,,,
45,Slovakia,0.855,75.3,14.7,13.0,"32,171",4,45,,,,,,,,,
45,Türkiye,0.855,78.5,19.7,8.8,"32,834",2,48,,,,,,,,,
47,Hungary,0.851,75.0,15.1,12.2,"34,196",-2,46,,,,,,,,,
48,Argentina,0.849,76.1,19.0,11.1,"22,048",17,47,,,,,,,,,
49,Kuwait,0.847,80.3,15.7,7.4,"56,729",-33,50,,,,,,,,,
50,Montenegro,0.844,76.8,15.1,12.6,"22,513",12,49,,,,,,,,,
51,Saint Kitts and Nevis,0.838,72.0,18.4,10.8,"28,442",3,51,,,,,,,,,
52,Uruguay,0.830,78.0,17.4,9.1,"22,207",12,56,,,,,,,,,
53,Romania,0.827,74.1,14.5,11.4,"31,641",-1,52,,,,,,,,,
54,Antigua and Barbuda,0.826,79.2,15.5,10.5,"18,784",18,54,,,,,,,,,
55,Brunei Darussalam,0.823,74.6,13.7,9.2,"59,246",-43,53,,,,,,,,,
56,Russian Federation,0.821,70.1,15.7,12.4,"26,992",1,55,,,,,,,,,
57,Bahamas,0.820,74.4,11.9,12.7,"32,535",-9,67,,,,,,,,,
57,Panama,0.820,76.8,13.2,10.7,"32,029",-6,57,,,,,,,,,
59,Oman,0.819,73.9,13.0,11.9,"32,967",-13,58,,,,,,,,,
60,Georgia,0.814,71.6,16.7,12.7,"15,952",19,59,,,,,,,,,
60,Trinidad and Tobago,0.814,74.7,14.1,11.7,"22,473",3,60,,,,,,,,,
62,Barbados,0.809,77.7,16.5,9.9,"14,810",24,63,,,,,,,,,
63,Malaysia,0.807,76.3,12.9,10.7,"27,295",-7,68,,,,,,,,,
64,Costa Rica,0.806,77.3,16.1,8.8,"20,248",2,60,,,,,,,,,
65,Serbia,0.805,74.1,14.5,11.5,"19,494",3,60,,,,,,,,,
66,Thailand,0.803,79.7,15.6,8.8,"16,887",10,69,,,,,,,,,
67,Kazakhstan,0.802,69.5,14.8,12.4,"22,587",-6,65,,,,,,,,,
67,Seychelles,0.802,71.7,13.9,11.2,"28,386",-12,71,,,,,,,,,
69,Belarus,0.801,73.2,14.0,12.2,"18,425",5,65,,,,,,,,,
70,Bulgaria,0.799,71.5,13.9,11.4,"25,921",-12,70,,,,,,,,,
71,Palau,0.797,65.4,17.2,13.0,"19,344",-2,64,,,,,,,,,
72,Mauritius,0.796,74.0,14.6,10.0,"23,252",-12,72,,,,,,,,,
73,Grenada,0.793,75.3,16.6,9.9,"13,593",18,73,,,,,,,,,
