Country.Name,"Compulsory education, duration (years)","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",Individuals using the Internet (% of population),Rural population (% of total population),"Life expectancy at birth, total (years)",Scientific and technical journal articles
Afghanistan,9,6.92583163579305,18,73.6714,62.75025,126.51499999999999
Albania,9,88.8029632568359,75.681367895,37.0576,77.39175,179.095
Algeria,10,42.6240081787109,64.56585688666667,25.7554,76.10825,5873.950000000001
American Samoa,NA,NA,NA,12.82,NA,NA
Andorra,10,81.7182769775391,92.60727860666667,12.1314,NA,8.57
Angola,6,28.14960289001465,32.42728016,32.5538,62.07025,39.61
Antigua and Barbuda,11,NA,95.68550954333334,75.6006,78.81625,6.63
Argentina,14,NA,85.2468505575,7.771800000000004,76.1575,9357.255000000001
Armenia,12,98.20381418863937,73.88796927333334,36.545,73.25675,602.87
Aruba,13,NA,NA,56.117,75.39725,NA
Australia,11,94.4994945526123,95.41479535,13.6336,83.15,59074.515
Austria,13,98.62540690104167,90.3562188375,40.9912,81.34268292682927,13431.305
Azerbaijan,10,96.98901557922363,83.89999826666667,43.2098,70.706,926.9649999999999
"Bahamas, The",12,NA,92.48770144,16.6282,72.4595,21.205
Bahrain,9,80.6355056762695,99.79084532333333,10.3732,79.29975,442.035
Bangladesh,5,43.24397468566895,33.18248155333333,61.0576,72.71325,4969.68
Barbados,11,NA,83.82908644,68.7312,77.48175,58.63
Belarus,9.8,97.4785385131836,86.06820199500001,20.1012,73.04154878048783,1346.96
Belgium,12,87.86752510070801,92.1495877975,1.884200000000002,81.54451219512195,16616.934999999998
Belize,8,50.93580627441405,59.53966704,53.7808,72.05425,12.445
Benin,6,7.840589761734011,28.20347449333333,51.0236,60.07925,277.515
Bermuda,13,NA,NA,0,80.755,NA
Bhutan,NA,50.52706050872803,79.89539176,57.0056,71.761,66.645
Bolivia,14,57.51657581329345,57.797433053333336,29.5226,65.2165,131.08
Bosnia and Herzegovina,9,70.72772598266603,74.4199597625,50.5638,76.01474999999999,850.005
Botswana,NA,68.32908821105954,70.35811513333333,28.46,64.54125,316.69
Brazil,14,66.59750175476076,79.11819438,12.6886,73.8805,67334.175
British Virgin Islands,12,NA,NA,51.074,75.64475,NA
Brunei Darussalam,9,84.27762603759767,96.38304198,21.4502,74.684,254.325
Bulgaria,11,95.10560035705565,73.12694340499999,23.9756,73.64878048780487,4084.64
Burkina Faso,10,8.92387485504149,14.929868370000001,68.7552,59.7015,248.26
