Country.Name,Log.GDP.per.capita,Social.support,Healthy.life.expectancy.at.birth,Freedom.to.make.life.choices,Generosity,Perceptions.of.corruption
Afghanistan,7.4825,0.3675,54.63125,0.34600000000000003,-0.097,0.83525
Albania,9.5884,0.7026,69.15,0.8064,-0.012799999999999999,0.8804
Algeria,9.32075,0.82375,66.55,0.48925,-0.07175,0.697
Argentina,9.976,0.892,67.2,0.8231999999999999,-0.1242,0.8236
Armenia,9.63575,0.7935,67.71875,0.812,-0.16925,0.6685
Australia,10.8204,0.9276,71.05,0.893,0.1782,0.4804
Austria,10.9112,0.9004,71.15,0.868,0.1124,0.495
Azerbaijan,9.611333333333333,0.755,63.891666666666666,0.8276666666666667,-0.10166666666666667,0.5933333333333333
Bahrain,10.823666666666666,0.8476666666666667,65.775,0.907,0.10166666666666667,NA
Bangladesh,8.6892,0.5502,64.55,0.8712,-0.008400000000000003,0.7034
Belarus,9.867,0.917,66,0.657,-0.192,0.546
Belgium,10.855599999999999,0.9044,70.9,0.8252,-0.022599999999999995,0.5668
Benin,8.1096,0.4298,56.1,0.7554,-0.0452,0.5996
Bolivia,9.0056,0.7994,63.6,0.8634,-0.0692,0.8508
Bosnia and Herzegovina,9.67,0.8734,67.3,0.7622,0.1824,0.9362
Botswana,9.649000000000001,0.7416666666666667,54.541666666666664,0.771,-0.23833333333333334,0.8123333333333334
Brazil,9.601,0.8532,65.75,0.8216,-0.0286,0.741
Bulgaria,10.1294,0.9272,66.5,0.7952,-0.0856,0.9249999999999999
Burkina Faso,7.67025,0.64725,55.55625,0.69675,0.0705,0.731
Cambodia,8.405,0.7436,61.9,0.9583999999999999,0.0574,0.8388
Cameroon,8.2234,0.6941999999999999,55.85,0.7032,-0.0016,0.8413999999999999
Canada,10.7838,0.9226000000000001,71.4,0.8764,0.1506,0.4328
Chad,7.287,0.6563333333333333,52.875,0.6006666666666667,0.13566666666666666,0.7973333333333333
Chile,10.124,0.8818,70.3,0.7702,-0.0354,0.8326
China,9.7545,0.82075,68.71875,0.8715,-0.07475,NA
Colombia,9.6016,0.8346,69.35,0.8118,-0.1278,0.8452
Comoros,8.093,0.529,59.30833333333333,0.49033333333333334,0.017666666666666667,0.7326666666666667
Congo (Brazzaville),8.1168,0.5994,56.85,0.717,-0.0264,0.7414
Congo (Kinshasa),7.054,0.613,55.5875,0.6755,0.11599999999999999,0.8365
Costa Rica,9.9632,0.8786,70,0.9092,-0.08800000000000001,0.7816
Croatia,10.3506,0.9192,68.95,0.7168,-0.1266,0.9024
Cyprus,10.63575,0.812,72.8,0.7298,-0.033499999999999995,0.8568
Czechia,10.61325,0.94625,69.1125,0.90275,0.034999999999999996,0.8525
Denmark,10.9666,0.9471999999999999,71.25,0.9374,0.1002,0.1896
Dominican Republic,9.8274,0.8454,64.4,0.8582,-0.1072,0.6764
Ecuador,9.2922,0.801,69,0.7939999999999999,-0.1118,0.835
Egypt,9.422,0.7322,63.5,0.7212,-0.196,0.58
El Salvador,9.1144,0.7544,65.6,0.9144,-0.1106,0.609
Estonia,10.5212,0.9458,69.65,0.9172,0.004600000000000002,0.4278
Eswatini,9.0835,0.7355,51.3,0.5680000000000001,-0.172,0.749
Ethiopia,7.748,0.74525,60.7,0.7070000000000001,0.20024999999999998,0.77725
Finland,10.794,0.958,71.15,0.955,-0.024,0.1852
France,10.7158,0.9072,72.3,0.8122,-0.0872,0.557
Gabon,9.549999999999999,0.7456,58.25,0.6768,-0.1868,0.8052
Gambia,7.663333333333333,0.6443333333333333,57.7,0.6676666666666666,0.39966666666666667,0.8446666666666667
Georgia,9.667,0.7194,64.95,0.81,-0.2606,0.6628
Germany,10.8796,0.894,71.3,0.8534,0.0486,0.4362
Ghana,8.5954,0.6622,58.75,0.7922,0.12380000000000001,0.8786
Greece,10.3092,0.8426,71.15,0.581,-0.2482,0.8086
Guatemala,9.110333333333333,0.792,62.766666666666666,0.8766666666666667,-0.059000000000000004,0.8066666666666666
Guinea,7.8838,0.6345999999999999,54.2,0.6874,0.12940000000000002,0.7782
Honduras,8.64475,0.76575,63.956250000000004,0.8525,0.08175,0.82
Hong Kong S.A.R. of China,10.97625,0.82325,NA,0.6995,0.01175,0.39625
Hungary,10.4216,0.9458,67.5,0.7654,-0.077,0.8493999999999999
Iceland,10.9046,0.9818,72.05,0.937,0.23249999999999998,0.6792
India,8.8234,0.5976,60.9,0.8882,0.0868,0.766
Indonesia,9.401,0.797,63.05,0.8814,0.5448000000000001,0.8696
Iran,9.6066,0.767,66.6,0.6033999999999999,0.1786,0.7458
Iraq,9.097249999999999,0.73125,63.887499999999996,0.65325,0.009000000000000001,0.864
Ireland,11.531,0.9162,71.3,0.8836,0.1036,0.364
Israel,10.6548,0.9456,72.7,0.8114,0.03,0.7016
Italy,10.6548,0.8668,72.05,0.708,-0.0736,0.842
Ivory Coast,8.5864,0.601,55.95,0.7378,-0.0158,0.7422
Jamaica,9.186,0.86825,66.6,0.8402499999999999,-0.11825,0.8785000000000001
Japan,10.6292,0.8804,74.35,0.7958000000000001,-0.2398,0.6266
Jordan,9.1412,0.74,67.6,0.7582,-0.1538,0.674
Kazakhstan,10.1662,0.935,65.8,0.863,-0.003399999999999999,0.7366
Kenya,8.4652,0.6892,58.5,0.728,0.2944,0.83
Kosovo,9.3814,0.8358,NA,0.8652,0.259,0.8658
Kuwait,10.793333333333333,0.8686666666666667,70.04166666666667,0.9113333333333333,0.05733333333333333,NA
Kyrgyzstan,8.5322,0.9112,66.85,0.9328,0.1334,0.8988
Laos,8.9756,0.6752,61.1,0.9086000000000001,0.08360000000000001,0.6932
Latvia,10.3702,0.9356,66.4,0.7931999999999999,-0.0626,0.8164
Lebanon,9.537,0.6282,66.15,0.4742,-0.1266,0.8914
Lesotho,7.769,0.7350000000000001,45.175,0.7124999999999999,-0.11449999999999999,0.865
Liberia,7.293,0.6463333333333333,56.3,0.7193333333333333,0.07766666666666666,0.83
Libya,9.958,0.7959999999999999,65.725,0.7616666666666667,-0.075,0.666
Lithuania,10.5574,0.9234,67.4,0.751,-0.1864,0.7852
Luxembourg,11.651666666666666,0.8896666666666667,71.65833333333333,0.9186666666666667,0.001666666666666668,0.35933333333333334
