Country name,Ladder score,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,7.741,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,7.583,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,7.525,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,7.344,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,7.341,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,7.319,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,7.302,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,7.122,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,7.060,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,7.057,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,7.029,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,6.955,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,6.951,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,6.905,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,6.900,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,6.894,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,6.838,,,,,,,,,,,,,,,,,,,,,,,,,
Czechia,6.822,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,6.818,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,6.749,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,6.743,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,6.733,,,,,,,,,,,,,,,,,,,,,,,,,
United States,6.725,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,6.719,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,6.678,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,6.611,,,,,,,,,,,,,,,,,,,,,,,,,
France,6.609,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,6.594,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,6.561,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,6.523,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan Province of China,6.503,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,6.491,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,6.469,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,6.448,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,6.442,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,6.421,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,6.411,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,6.360,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,6.358,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,6.346,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,6.324,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,6.287,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,6.284,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,6.272,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,6.257,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,6.234,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,6.195,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,6.188,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,6.188,,,,,,,,,,,,,,,,,,,,,,,,,
