"Lambda5","Lambda1","Lambda9"
0.268269579527973,0.517947467923121,0.001
0.01,0.0138949549437314,0.1
0.138949549437314,0.517947467923121,1.93069772888325
0.00372759372031495,0.0138949549437314,0.00138949549437314
0.517947467923121,0.0719685673001153,0.0138949549437314
0.0193069772888325,0.0719685673001153,1
0.268269579527973,0.719685673001153,0.719685673001153
0.0193069772888325,0.00372759372031495,0.00517947467923121
0.193069772888325,1.93069772888325,0.0719685673001153
0.0372759372031495,0.372759372031495,0.517947467923121
