"","n","Scenario","tau","Simulations","QATF1","QATF2","ATF1","ATF2"
"1",500,1,0.5,1,"0.263779","0.26453","0.169252","0.156359"
"2",1000,1,0.5,1,"0.194454","0.124117","0.0814062","0.0890354"
"3",2500,1,0.5,1,"0.0890336","0.0584902","0.0358926","0.0364731"
"4",500,2,0.5,1,"0.659124","0.343397","4.61846","5.00679"
"5",1000,2,0.5,1,"0.239057","0.202363","2.02835","2.09499"
"6",2500,2,0.5,1,"0.216679","0.148047","4.67309","3.79351"
"7",500,3,0.5,1,"0.207942","0.211521","0.340689","0.351807"
"8",1000,3,0.5,1,"0.131969","0.108617","0.287747","0.295013"
"9",2500,3,0.5,1,"0.0585284","0.044752","0.0878263","0.0977139"
"10",500,4,0.5,1,"0.295434","0.0111224","0.0135895","0.0871097"
"11",1000,4,0.5,1,"0.165298","0.0116194","0.0193754","0.0481651"
"12",2500,4,0.5,1,"0.0947451","0.0016514","0.00647687","0.0215258"
"13",500,5,0.5,1,"0.871011","0.186468","45.8195","31.0772"
"14",1000,5,0.5,1,"0.389156","0.0957456","6.48467","4.75899"
"15",2500,5,0.5,1,"0.240367","0.064253","136.896","93.7344"
"16",500,6,0.9,1,"0.0840423","0.0492062","NA","NA"
"17",1000,6,0.9,1,"0.0721243","0.0340308","NA","NA"
"18",2500,6,0.9,1,"0.0634098","0.0323425","NA","NA"
"19",500,6,0.1,1,"0.253663","0.172721","NA","NA"
"20",1000,6,0.1,1,"0.102174","0.0559354","NA","NA"
"21",2500,6,0.1,1,"0.0375836","0.0179804","NA","NA"
